Name,Current-Price,Change,Open,High,Low,Volume
ADDENTAX GROUP CORP.,0.5495,-3.60%,0.5825,0.5825,0.5300,"46,814"
ADDEX THERAPEUTICS LTD ADS,10.86,+6.16%,10.16,11.40,10.16,"76,446"
ADDUS HOMECARE CORP.,133.01,+1.47%,131.57,133.59,131.15,"123,415"
ADEIA INC.,12.60,+1.45%,12.46,12.62,12.41,"498,864"
ADIAL PHARMACEUTICALS INC,0.9810,-0.81%,0.9750,1.0000,0.9500,"78,749"
ADICET BIO INC.,1.46,-1.35%,1.48,1.51,1.46,"238,972"
ADITXT INC.,0.6421,+10.90%,0.5800,0.6500,0.5800,"253,084"
ADLAI NORTYE,2.83,+2.91%,2.80,2.83,2.80,383
ADMA BIOLOGICS INC,17.31,+0.52%,17.27,17.42,16.72,"3,193,051"
ADOBE INC.,574.41,+0.84%,572.20,575.65,568.29,"1,982,970"
ADS-TEC ENERGY PLC,13.26,+0.76%,13.24,13.50,12.86,"227,400"
ADTRAN HOLDINGS INC.,5.58,-2.62%,5.73,5.73,5.52,"461,804"
ADVANCED ENERGY INDUSTRIES,106.09,-0.89%,107.91,108.18,104.64,"522,628"
ADVANCED MICRO DEVICES INC.,148.56,+2.11%,147.52,148.99,145.25,"31,169,069"
ADVANTAGE SOLUTIONS INC.,3.87,+1.31%,3.82,3.90,3.47,"577,777"
ADVENT TECHNOLOGIES HLD.,3.00,+1.35%,2.93,3.04,2.93,"1,905"
ADVERUM BIOTECHNOLOGIES INC.,6.94,+0.87%,6.89,6.99,6.70,"86,951"
AEHR TEST SYSTEMS,15.21,+1.74%,15.22,15.69,14.90,"686,054"
AEMETIS INC,2.46,-1.20%,2.53,2.57,2.43,"218,564"
AERIES TECHNOLOGY INC. ORD.,1.91,+2.69%,1.91,2.10,1.67,"10,696"
AEROVATE THERAPEUTICS INC.,1.93,+4.32%,1.85,1.93,1.82,"191,004"
AEROVIRONMENT INC.,203.76,+0.07%,203.96,206.26,198.87,"362,161"
AERSALE CORP.,5.09,-1.17%,5.15,5.20,5.05,"186,746"
AETHLON MEDICAL INC.,0.3800,-7.20%,0.4258,0.4258,0.3752,"375,627"
AEYE INC.,1.25,+0.00%,1.25,1.28,1.22,"96,192"
AFC GAMMA INC.,10.46,+0.29%,10.43,10.48,10.36,"147,507"
AFFIMED N.V.,4.23,-4.30%,4.49,4.49,4.10,"102,858"
AFFINITY BANCSHARES INC.,21.34,+0.00%,21.34,21.34,21.28,"2,646"
AFFIRM HOLDINGS INC.,44.01,+5.64%,41.50,44.89,40.57,"30,046,483"
AFRICAN AGRICULTURE HLD.,0.1330,-1.63%,0.1352,0.1352,0.1307,"105,826"
AFYA LTD.,16.30,-5.78%,17.22,17.22,16.30,"658,234"
AGAPE ATP CORP.,2.55,"+3,087.50%",2.39,3.49,2.06,"79,891,511"
AGBA GROUP HOLDING,2.54,-0.39%,2.61,2.65,2.41,"383,849"
AGENUS INC.,5.15,+3.21%,5.03,5.19,4.99,"260,191"
AGILYSYS INC.,113.10,+0.69%,112.24,113.81,110.97,"198,976"
AGIOS PHARMACEUTICALS INC.,45.91,+0.11%,46.01,46.25,45.25,"335,139"
